"","text"
"4577","@ernest_pillay acts as if he doesn't know that not singing Die Stem is EFF policy. He talks like it only happened during #SONA2019 and #EFFManifesto launch. Deliberately playing misinformed."
"4578","It's time to work on your body goals, lose weight or lose mkhaba. Lets get our health right. 

DM me or like &amp; open DM's, join us on a weightloss/mkhaba loss journey. 
#GirlsTalkZA #SONA2019 #GirlTalkZA #HerbalifeNutrition https://t.co/NB5N1cnb5Z"
"4579","#SONA2019 the president making more promises on empty promises ....the presendebt is getting the people's hopes up for utter disappointment yet again"
"4580","All the action from #SONA2019 https://t.co/iBrcee4OB1 https://t.co/Y7PHVyOaul"
"4581","All the action from #SONA2019 https://t.co/BmkkLyZFpK https://t.co/pIACyfLZg7"
"4582","All the action from #SONA2019 https://t.co/27Wmx4T3nx https://t.co/DdargiY3DJ"
"4583","Ramaphosa's #SONA2019 investment and tech push, with conspicuous neglect of worker power, risks jobless growth. The antidote of education has over the last 20 years in my view is largely a failed project. But where workers have power, technology need not be an enemy 1/4"
"4584","@MYANC @MbalulaFikile When R we having a real #Sona2019

The one that will touch on issues of South African people and solutions to our challenges 

We've heard #sona2019 kaThumamina we r thirsty for Government that listens to its people not Investors."
"4585","I'm selling MiniGeza's for R400 for orders call me Bandile 0737728398 #SONA2019 https://t.co/Jcuti7CgPx"
"4586","We grooming this young boys to become the best..Any  sponsors?? #Gumboots #FridayFeeling #SONA2019 #BAKAE https://t.co/n0Hf13Y9Dg"
"4587","Is it not a bit tragic that as much attention is placed on what our politicians wear, as on the actual state of the nation? #SONA2019"
"4588","#SONA2019 - In its response to Pres Ramaphosa’s State of the Nation Address, Solidarity today said it is clear that the ruling party’s basic premise is that more government control would lead to better results. Full Statement: https://t.co/nVAG2AKwps
@pretorianews @BDliveSA"
"4589","#SONA2019 - Solidariteit het vandag in reaksie op president Ramaphosa se staatsrede gesê dat die regerende party se basiese uitgangspunt is dat meer staatsbeheer tot beter resultate sal lei. Lees verder: https://t.co/IW1Ehy0Lcn
@SolidariDirk @WernerHuman18 @RapportSA @PretoriaFM"
"4590","Plagiarism they say <U+0001F914>, ""The arrogance of the prodigal son"" , new book title #SONA2019....."
"4591","Generation, transmission and distribution...... ESKOM #SONA2019 <U+0001F914> <U+0001F914> <U+0001F914>"
"4592","DA waiting for EFF for those famous words ""point of order chair"" .. #SONA2019 not today mtyholi https://t.co/dpo8Mak5u3"
"4593","I'm looking forward to @Julius_S_Malema respond to his own #SONA2019 ."
"4594","Is the EFF going to gain all the lost votes since it sat throughout? I'll literally listen on the radio. 
#SONA2019 https://t.co/1AON5ELjNw"
"4595","We are listening to the #EFFManifesto with a twang.
#SONA2019"
"4596","@jack And @Twitter is slowly killing traditional media. We no longer have to wait for post interviews. #SONA2019 https://t.co/fQyPnKnCd9"
"4597","It must be a sad #SONA2019 for all those who were saying the #EFFManifesto is hogwash. #EFFRedFridays2019 
#plagiarism https://t.co/VL7JOmLNNs"
"4598","@_Aobakwe_ <U+0001F602> <U+0001F602> I'm waiting on  ""EFF just gained my vote"" Coz they didn't disrupt the #SONA2019"
"4599","Those who didn't have the time to read through the #EFFManifesto just need to listen to #SONA2019 
Plagiarism is real.  #EFFRedFridays2019 https://t.co/gfcQ34eshd"
"4600","Post #SONA2019 would be boring without the mentioning of #EFFRedFridays2019 
The ""EFF just lost my vote"" brigade is feasting on this klap debacle. https://t.co/VLYHv8v4aJ"
"4601","@MYANC clapping the loudest when it comes to @Total investment. 
Thriving on foreign investors is not always good. Ask the #MAGA brigade. #SONA2019"
"4602","#SONA2019 live on @YouTube | The Last State of the Nation Address for the current administration | https://t.co/Z7DNzqXsIL"
"4603","NPA to get ‘Scorpions version 2’, @CyrilRamaphosa notes in #SONA2019 | https://t.co/0YGyp6k1PU"
"4604","#SONA2019 @CyrilRamaphosa #Matemela2019 https://t.co/g9younpvnC"
"4605","""I have engaged with the Independent Electoral Commission and also with the Premiers of all provinces, and intend to proclaim the 8th of May 2019 as the date of the election.” - @CyrilRamaphosa #SONA2019 https://t.co/V4GIGeiY5B"
"4606","Elections are going to be boring. The #ANC is going to win anyway. Too many people believe in #Ramaphosa. Wake up people! The #ANC is still the same! #8May2019
#SONA2019"
"4607","#SONA2019

#FarmMurders #SouthAfrica 

Adriano Mazzotti is a director
of a cigarette company, Carnilinx admits to funding EFF. He is linked to
alleged SARS tax evasion and drug trafficking. https://t.co/XaV9MdZhkA"
"4608","#SONA2019

#FarmMurders #SouthAfrica 

“Clowns to the
left of me, Jokers to the right, here I am, stuck in the middle...” https://t.co/UvAGihL4Fx"
"4609","#SONA2019

#FarmMurders #SouthAfrica 

“Clowns to the
left of me, Jokers to the right, here I am, stuck in the middle...” https://t.co/sJpXAQGZqc"
"4610","#SONA2019 Word Cloud https://t.co/5nuC0vLVJT"
"4611","Ramaphosa ends his #sona2019 with these words ""Let us continue to embrace the spirit of citizen activism in line with the injunction, Thuma Mina, in the onward march towards equality, freedom and prosperity for all. I thank you."""
"4612","DA's Mmusi Maimane reacts to #SONA2019 https://t.co/FlDfK8X3k3"
"4613","UDM's chief whip, Nqabayomzi Kwankwa reacts to #SONA2019 https://t.co/5TcKGvGsvp"
"4614","FF+ Pieter Groenewald reacts to #SONA2019 https://t.co/gfZJhTV8c1"
"4615","Ramaphosa on preparing school kids for the 4th Industrial Revolution:  ""Over the next six years, we will provide every school child in South Africa with digital workbooks and textbooks on a tablet device."" #SONA2019"
